Ano;MunicipioResidencia;NotaCh;NotaCn;NotaLc;NotaMt;UfResidencia;CoUfResidencia;Idade;NotaComp1;NotaComp2;NotaComp3;NotaComp4;NotaComp5;NotaRedacao;CorRaca;DependenciaAdmEsc;LocalizacaoEsc;StConclusao;StatusRedacao
2019;Itaipava do Grajaú;413;388.6;480.4;403.4;MA;21;16;100;120;120;120;0;460;1;2;1;2;1
2019;Barão de Grajaú;461.9;422.4;520.4;393.3;MA;21;17;100;120;120;120;120;580;1;2;1;2;1
2019;Queimada Nova;542.4;412.6;560.9;502.7;PI;22;17;120;120;120;120;120;600;1;2;1;2;1
2019;Tarrafas;424.1;410.8;475.3;487.5;CE;23;18;140;120;100;140;40;540;1;2;1;2;1
2019;Lagoa do Tocantins;411.9;439;456.9;439.6;TO;17;17;60;80;100;100;0;340;1;2;1;2;1
2019;São Domingos do Azeitão;422.7;419;362.6;399.9;MA;21;18;100;60;60;120;0;340;1;2;1;2;1
2019;Acauã;469.4;377.3;527.9;386.4;PI;22;18;120;120;100;120;40;500;1;2;1;2;1
2019;Alto Alegre do Maranhão;538.3;489.8;534.3;476;MA;21;18;120;120;120;120;100;580;1;2;1;2;1
2019;Brejo do Piauí;398.8;378.1;397.3;426.6;PI;22;20;80;40;40;40;0;200;1;2;1;2;1
2019;Várzea Grande;489.1;420.1;432.4;390.8;PI;22;19;120;120;100;120;80;540;1;2;1;2;1
2019;Aldeias Altas;341;419.8;361.8;402.2;MA;21;17;40;40;20;40;20;160;1;2;1;2;1
2019;Paragominas;500.6;377.8;532.8;425.1;PA;15;20;160;120;160;140;100;680;1;2;1;2;1
2019;Filadélfia;483.7;391.7;514;373.2;TO;17;17;120;120;120;120;0;480;1;2;1;2;1
2019;São Miguel do Guamá;449.7;493.7;464;398.8;PA;15;17;120;120;120;120;160;640;1;2;1;2;1
2019;Nazaré;457.1;376.4;461.6;378;TO;17;19;140;120;120;140;100;620;1;2;1;2;1
2019;João Costa;358.3;448.3;381.6;381.4;PI;22;21;0;0;0;0;0;0;1;2;1;2;3
2019;Itaporã do Tocantins;432.8;382.5;495.7;422.7;TO;17;17;120;180;140;120;160;720;1;2;1;2;1
2019;Santana do Araguaia;430.6;407.9;391.8;368.8;PA;15;18;80;60;60;140;20;360;1;2;1;2;1
2019;Luzilândia;461.8;406.5;499;515.3;PI;22;18;120;120;120;120;120;600;1;2;1;2;1
2019;Jaicós;431.6;340.7;444.3;476.3;PI;22;19;120;120;120;80;0;440;1;2;1;2;1
2019;Quixeré;372.7;480.8;532.3;485.9;CE;23;18;120;160;120;120;100;620;1;2;1;2;1
2019;Santa Helena;472.5;448.9;454.6;495;MA;21;19;120;120;120;120;100;580;1;2;1;2;1
2019;Acará;511.1;455.3;558.9;394.5;PA;15;17;160;120;160;140;140;720;1;2;1;2;1
2019;Raposa;567.5;508.2;579.7;460.9;MA;21;17;160;200;160;200;160;880;1;2;1;2;1
