Ano;MunicipioResidencia;NotaCh;NotaCn;NotaLc;NotaMt;UfResidencia;CoProvaCh;CoProvaCn;CoProvaLc;CoProvaMt;CoUfResidencia;CODMunicipioResidencia;CorRaca;DependenciaAdmEsc;Idade;LocalizacaoEsc;NotaComp1;NotaComp2;NotaComp3;NotaComp4;NotaComp5;NotaRedacao;NuInscricao;StConclusao;StatusRedacao;TpEscola;TpEstadoCivil
2019;Itaipava do Grajaú;413;388.6;480.4;403.4;MA;509;503;514;515;21;2105351;1;2;16;1;100;120;120;120;0;460;1,90003E+11;2;1;2;1
2019;Barão de Grajaú;461.9;422.4;520.4;393.3;MA;509;503;514;515;21;2101509;1;2;17;1;100;120;120;120;120;580;1,90003E+11;2;1;2;1
2019;Queimada Nova;542.4;412.6;560.9;502.7;PI;509;503;514;515;22;2208650;1;2;17;1;120;120;120;120;120;600;1,90003E+11;2;1;2;1
2019;Tarrafas;424.1;410.8;475.3;487.5;CE;509;503;514;515;23;2313252;1;2;18;1;140;120;100;140;40;540;1,90003E+11;2;1;2;1
2019;Lagoa do Tocantins;411.9;439;456.9;439.6;TO;509;503;514;515;17;1711951;1;2;17;1;60;80;100;100;0;340;1,90003E+11;2;1;2;1
2019;São Domingos do Azeitão;422.7;419;362.6;399.9;MA;510;503;513;515;21;2110658;1;2;18;1;100;60;60;120;0;340;1,90003E+11;2;1;2;1
2019;Acauã;469.4;377.3;527.9;386.4;PI;507;504;511;516;22;2200053;1;2;18;1;120;120;100;120;40;500;1,90003E+11;2;1;2;1
2019;Alto Alegre do Maranhão;538.3;489.8;534.3;476;MA;507;504;511;516;21;2100436;1;2;18;1;120;120;120;120;100;580;1,90003E+11;2;1;2;1
2019;Brejo do Piauí;398.8;378.1;397.3;426.6;PI;507;504;511;516;22;2201988;1;2;20;1;80;40;40;40;0;200;1,90003E+11;2;1;2;1
2019;Várzea Grande;489.1;420.1;432.4;390.8;PI;508;504;512;516;22;2211407;1;2;19;1;120;120;100;120;80;540;1,90003E+11;2;1;2;1
2019;Aldeias Altas;341;419.8;361.8;402.2;MA;508;504;512;516;21;2100303;1;2;17;1;40;40;20;40;20;160;1,90003E+11;2;1;2;1
2019;Paragominas;500.6;377.8;532.8;425.1;PA;509;504;514;516;15;1505502;1;2;20;1;160;120;160;140;100;680;1,90003E+11;2;1;2;1
